DMA,Brand,Year,NielsenRating,LocalTeamInSB,PostRevenuePerWeek
548,BUDWEISER,2008,0.454,1,0.437741738
548,BUDWEISER,2009,0.425,0,0.450458725
548,BUDWEISER,2010,0.518,0,0.474919325
548,BUDWEISER,2011,0.492,0,0.409877088
548,COORS,2006,0.404,0,0.0583954
548,COORS,2007,0.443,0,0.069901425
548,COORS,2008,0.454,1,0.075677438
548,COORS,2009,0.425,0,0.076039425
548,COORS,2010,0.518,0,0.080450513
548,COORS,2011,0.492,0,0.07191255
548,CORONA,2006,0.404,0,0.08219365
548,CORONA,2007,0.443,0,0.0980252
548,CORONA,2008,0.454,1,0.095672213
548,CORONA,2009,0.425,0,0.088124063
548,CORONA,2010,0.518,0,0.085705
548,CORONA,2011,0.492,0,0.076352863
548,MILLER,2006,0.404,0,0.128930238
548,MILLER,2007,0.443,0,0.146602175
548,MILLER,2008,0.454,1,0.15021495
548,MILLER,2009,0.425,0,0.137817075
548,MILLER,2010,0.518,0,0.136403738
548,MILLER,2011,0.492,0,0.111801725
548,OTHERBEER,2006,0.404,0,0.347670425
548,OTHERBEER,2007,0.443,0,0.419442988
548,OTHERBEER,2008,0.454,1,0.417286775
548,OTHERBEER,2009,0.425,0,0.390083688
548,OTHERBEER,2010,0.518,0,0.38190065
548,OTHERBEER,2011,0.492,0,0.347643763
556,BUDWEISER,2006,0.46,0,0.4328553
